run_dir,run_name,video_stem,meta_path,frame_idx,state,pose_smooth,pose_raw,capture_reason,bbox_w,bbox_h,bbox_xyxy,det_conf,det_cls,BBOX_RATIO,BBOX_THRESH,APPROACH_MAX_STEPS,SMOOTH_K,SIDE_WINDOW,SIDE_NEED,CONF_THRES
merged_raw_runs/DJI_0006_20260519_152640,DJI_0006_20260519_152640,DJI_0006,merged_raw_runs/DJI_0006_20260519_152640/capture/meta_000585.json,585,CAPTURE,right,back-right,timeout_best_effort,39,43,"[1891, 1572, 1931, 1616]",0.6439046263694763,0,0.1,500,300,5,7,5,0.25
merged_raw_runs/DJI_0007_20260519_152920,DJI_0007_20260519_152920,DJI_0007,merged_raw_runs/DJI_0007_20260519_152920/capture/meta_002005.json,2005,CAPTURE,left,left,timeout_best_effort,133,73,"[1558, 1256, 1691, 1330]",0.8278203010559082,0,0.1,500,300,5,7,5,0.25
merged_raw_runs/DJI_0018_20260519_152450,DJI_0018_20260519_152450,DJI_0018,merged_raw_runs/DJI_0018_20260519_152450/capture/meta_000123.json,123,CAPTURE,right,right,ratio_threshold,400,318,"[2027, 2088, 2427, 2407]",0.810190737247467,0,0.1,500,300,5,7,5,0.25
merged_raw_runs/DJI_0018_20260519_153747,DJI_0018_20260519_153747,DJI_0018,merged_raw_runs/DJI_0018_20260519_153747/capture/meta_000123.json,123,CAPTURE,right,right,ratio_threshold,400,318,"[2027, 2088, 2427, 2407]",0.810190737247467,0,0.1,500,300,5,7,5,0.25
merged_raw_runs/DJI_0019_20260519_153827,DJI_0019_20260519_153827,DJI_0019,merged_raw_runs/DJI_0019_20260519_153827/capture/meta_000006.json,6,CAPTURE,left,left,ratio_threshold,573,443,"[2372, 1892, 2946, 2335]",0.8499099016189575,0,0.1,500,300,5,7,5,0.25
merged_raw_runs/DJI_0070_20260519_153835,DJI_0070_20260519_153835,DJI_0070,merged_raw_runs/DJI_0070_20260519_153835/capture/meta_000764.json,764,CAPTURE,left,left,timeout_best_effort,158,121,"[2830, 2299, 2988, 2421]",0.8074053525924683,0,0.1,500,300,5,7,5,0.25
merged_raw_runs/DJI_0142_20260519_154214,DJI_0142_20260519_154214,DJI_0142,merged_raw_runs/DJI_0142_20260519_154214/capture/meta_000305.json,305,CAPTURE,left,left,timeout_best_effort,128,117,"[1754, 2361, 1882, 2478]",0.8128033876419067,0,0.1,500,300,5,7,5,0.25
merged_raw_runs/DJI_0207_20260519_154349,DJI_0207_20260519_154349,DJI_0207,merged_raw_runs/DJI_0207_20260519_154349/capture/meta_000006.json,6,CAPTURE,left,left,ratio_threshold,441,448,"[793, 1826, 1235, 2274]",0.8309457302093506,1,0.1,500,300,5,7,5,0.25
